url,nat,cap
/titanic-survivor/nora-murphy.html,Irish,Dublin
/titanic-survivor/margaret-murphy.html,Irish,Dublin
/titanic-victim/hannah-naughton.html,Irish,Dublin
/titanic-survivor/johanna-hannah-obrien.html,Irish,Dublin
/titanic-victim/denis-obrien.html,Irish,Dublin
/titanic-victim/thomas-obrien.html,Irish,Dublin
/titanic-victim/patrick-denis-oconnell.html,Irish,Dublin
/titanic-victim/maurice-oconnor.html,Irish,Dublin
/titanic-victim/patrick-oconnor.html,Irish,Dublin
/titanic-survivor/ellen-nellie-odwyer.html,Irish,Dublin
/titanic-survivor/patrick-o-keeffe.html,Irish,Dublin
/titanic-survivor/hanora-nora-oleary.html,Irish,Dublin
/titanic-victim/bridget-mary-osullivan.html,Irish,Dublin
/titanic-victim/katie-peters.html,Irish,Dublin
/titanic-survivor/hannah-riordan.html,Irish,Dublin
/titanic-survivor/edward-ryan.html,Irish,Dublin
/titanic-victim/patrick-ryan.html,Irish,Dublin
/titanic-victim/matthew-sadlier.html,Irish,Dublin
/titanic-victim/james-scanlan.html,Irish,Dublin
/titanic-victim/lionel-leonard.html,Irish,Dublin
/titanic-victim/patrick-shaughnessy.html,Irish,Dublin
/titanic-survivor/ellen-natalia-shine.html,Irish,Dublin
/titanic-victim/thomas-smyth.html,Irish,Dublin
/titanic-survivor/julia-smyth.html,Irish,Dublin
/titanic-victim/roger-tobin.html,Irish,Dublin
/titanic-victim/margaret-rice.html,Irish,Dublin
/titanic-survivor/albina-bazzani.html,Italian,Rome
/titanic-victim/victor-giglio.html,Italian,Rome
/titanic-victim/sante-righini.html,Italian,Rome
/titanic-victim/sebastiano-del-carlo.html,Italian,Rome
/titanic-survivor/argene-del-carlo.html,Italian,Rome
/titanic-victim/emilio-mangiavacchi.html,Italian,Rome
/titanic-victim/francesco-celotti.html,Italian,Rome
/titanic-survivor/luigi-finoli.html,Italian,Rome
/titanic-victim/alfonzo-meo-martino.html,Italian,Rome
/titanic-survivor/masabumi-hosono.html,Japanese,Tokyo
/titanic-victim/david-abraham-harmer-livshin.html,Latvian,Riga
/titanic-victim/solomon-bowenur.html,Lithuanian,Vilnius
/titanic-victim/eliezer-gilinski.html,Lithuanian,Vilnius
/titanic-victim/dmitri-marinko.html,Macedonian,Skopje
/titanic-victim/manuel-uruchurtu.html,Mexican,Mexico City
/titanic-victim/engelhart-cornelius-ostby.html,Norwegian,Oslo
/titanic-victim/arne-joma-fahlstrom.html,Norwegian,Oslo
/titanic-survivor/olaus-jorgensen-abelseth.html,Norwegian,Oslo
/titanic-survivor/karen-marie-abelseth.html,Norwegian,Oslo
/titanic-victim/albert-karvin-andersen.html,Norwegian,Oslo
/titanic-victim/hans-martin-monsen-birkeland.html,Norwegian,Oslo
/titanic-survivor/charles-edward-dahl.html,Norwegian,Oslo
/titanic-victim/daniel-danielsen-gronnestad.html,Norwegian,Oslo
/titanic-victim/ingvald-olai-olsen-hagland.html,Norwegian,Oslo
/titanic-victim/konrad-hagland.html,Norwegian,Oslo
/titanic-victim/johan-martin-holthen.html,Norwegian,Oslo
/titanic-victim/adolf-mathias-nicolai-olsen-humblen.html,Norwegian,Oslo
/titanic-victim/lena-jakobsen-solvang.html,Norwegian,Oslo
/titanic-survivor/bernt-johannes-johannesen.html,Norwegian,Oslo
/titanic-victim/johannes-kalvik.html,Norwegian,Oslo
/titanic-survivor/fridtjof-arne-madsen.html,Norwegian,Oslo
/titanic-survivor/albert-johan-moss.html,Norwegian,Oslo
